4	6	4	3	2	1	3	2	2	1	3.49	3.4	1	2	3	3	4	0	0	1	0
4	5	4	2	3	2	3	3	3	1	.	4.9	1	2	3	3	3.3	0	0	1	0
6	2	1	3	3	7	2	2	4	6	.	4.4	3	3	1	2	4.1	0	0	0	1
6	1	1	3	3	1	3	3	1	8	3.85	4.6	3	3	3	3	2.5	0	0	0	0
7	2	2	3	3	3	3	3	3	6	.	4	3	3	3	3	3.8	0	0	0	1
7	1	1	3	3	2	3	3	1	6	4	4	3	3	3	3	4.4	0	0	0	1
5	2	2	3	3	3	3	1	3	3	.	3.9	3	3	3	3	3.4	1	1	0	0
6	2	2	3	3	3	3	3	3	1	.	4.7	3	3	3	3	3.2	0	0	1	0
6	1	1	3	3	5	1	2	5	8	.	4.1	3	3	1	1	4.2	0	0	0	0
6	4	1	3	3	7	2	2	3	3	.	3.8	2	3	1	3	3.6	1	1	0	0
6	5	2	3	3	3	3	3	2	6	.	4.1	1	3	3	3	4.4	0	0	0	1
7	1	1	3	3	7	2	1	4	6	.	3.9	3	3	1	2	2.9	0	0	0	1
3	6	5	3	2	5	1	3	4	1	.	4.3	1	1	1	2	2.5	0	0	1	0
5	5	2	3	3	2	3	3	2	1	.	3.6	1	3	3	3	4.4	0	0	1	0
7	1	1	3	3	4	3	3	2	1	.	4.4	3	3	2	3	3.8	0	0	1	0
7	1	1	3	3	1	3	3	1	3	.	4.6	3	3	3	3	1.5	1	1	0	0
7	1	1	3	3	2	3	3	2	5	.	4.5	3	3	3	3	4.9	0	0	0	0
6	2	2	3	3	6	3	3	4	1	.	4.3	3	3	1	2	3.4	0	0	1	0
3	6	6	2	2	6	1	1	5	3	3.52	4.3	1	1	1	1	4.4	0	1	0	0
6	2	2	3	3	2	3	3	3	6	3.2	4.3	3	3	3	3	5.4	0	0	0	1
5	3	3	3	2	6	2	3	5	3	.	3.9	3	3	1	1	5.2	1	1	0	0
6	3	2	3	3	5	3	3	4	1	.	4.5	3	3	1	2	3.3	0	0	1	0
4	6	3	2	3	5	1	2	3	1	.	4.2	1	3	1	3	5.6	0	0	1	0
6	2	2	3	3	3	3	3	5	3	2.74	4.6	3	3	3	1	4	1	1	0	0
7	1	1	3	3	5	3	1	6	6	.	3.8	3	3	1	1	3.7	0	0	0	1
6	1	1	3	3	6	3	3	4	1	.	4.1	3	3	1	2	3.8	0	0	1	0
3	5	3	1	1	5	1	2	4	1	.	3.9	1	3	1	2	4.8	0	0	1	0
5	4	3	3	2	5	2	2	4	8	.	3.5	2	3	1	2	4.5	0	0	0	0
5	3	3	3	3	6	2	1	3	1	.	3.9	3	3	1	3	3.4	0	0	1	0
6	3	4	2	3	1	3	3	1	6	.	4.6	3	2	3	3	3.9	0	0	0	1
5	3	3	3	3	5	2	2	5	3	.	4.2	3	3	1	1	5	1	1	0	0
7	1	1	3	3	7	3	3	1	1	.	5.1	3	3	1	3	3.9	0	0	1	0
6	2	4	3	3	3	3	3	2	1	.	3.7	3	2	3	3	4.6	0	0	1	0
7	2	2	3	3	4	3	3	2	6	3.96	4.4	3	3	2	3	2.1	0	0	0	1
4	4	4	1	2	5	2	2	4	1	.	4.2	2	2	1	2	3.4	1	0	1	0
5	3	3	3	3	6	1	1	5	3	.	4.6	3	3	1	1	4.7	1	1	0	0
7	1	1	3	3	2	3	3	6	8	.	4.4	3	3	3	1	4	0	0	0	0
7	1	1	3	3	1	3	3	1	6	.	4.6	3	3	3	3	2.1	0	0	0	1
5	3	3	3	3	7	2	3	5	1	.	3.6	3	3	1	1	5	0	0	1	0
5	4	5	3	3	5	3	3	6	3	.	4.5	2	1	1	1	4.4	0	1	0	0
4	6	5	2	1	5	2	3	3	8	3.52	4.1	1	1	1	3	3.6	0	0	0	0
6	3	3	3	2	3	3	3	4	6	.	4.5	3	3	3	2	3.4	0	0	0	1
7	1	1	3	3	5	3	3	1	6	4.7	4.4	3	3	1	3	2.5	0	0	0	1
7	5	6	2	2	7	1	1	7	2	2.86	3.9	1	1	1	1	6.3	0	0	0	0
5	5	2	3	3	6	1	2	2	3	.	4.1	1	3	1	3	5	1	1	0	0
5	1	1	3	3	5	3	2	2	6	3.82	3.3	3	3	1	3	2.8	0	0	0	1
6	3	3	3	3	3	3	3	2	3	3.3	3.8	3	3	3	3	3.3	0	1	0	0
7	1	1	3	3	1	3	3	1	6	3.84	4.7	3	3	3	3	2.9	0	0	0	1
4	5	2	3	3	3	3	3	6	1	.	4.7	1	3	3	1	3.5	1	0	1	0
6	2	2	3	3	1	3	3	1	6	3.94	4.2	3	3	3	3	3.2	0	0	0	1
2	6	6	2	2	5	2	2	4	3	3.55	3.7	1	1	1	2	4.5	1	1	0	0
4	6	6	3	3	3	3	3	5	3	3.14	4.1	1	1	3	1	2.6	0	1	0	0
6	2	2	3	3	2	2	3	5	6	3.1	4.5	3	3	3	1	3.8	0	0	0	1
6	4	7	3	3	7	1	3	7	3	3.37	3.9	2	1	1	1	4.5	1	1	0	0
6	3	2	3	3	6	2	3	4	1	3.76	3.9	3	3	1	2	4	0	0	1	0
7	4	1	3	3	1	3	3	1	3	2.35	4.6	2	3	3	3	2.3	1	1	0	0
3	7	4	3	1	3	3	3	2	1	3.89	3.5	1	2	3	3	5.5	0	0	1	0
7	1	1	3	3	5	3	3	3	8	3.18	4.6	3	3	1	3	2	0	0	0	0
