     0.000     1.000     2.000     1.000     2.000     2.000     1.000     2.000     0.000     1.000     3.490     0.000     3.400     4.000     0.000     1.000     0.001     0.999     0.001     0.000     2.000
     0.000     1.000     1.000     2.000     2.000     2.000     2.000     2.000     0.000     1.000   999.000     0.000     4.900     3.300     0.000     1.000     0.000     1.000     0.000     0.000     2.000
     2.000     2.000     2.000     2.000     1.000     0.000     1.000     1.000     1.000     6.000   999.000     0.000     4.400     4.100     0.000     0.000     0.001     0.001     0.998     0.000     3.000
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     0.000     8.000     3.850     0.000     4.600     2.500     0.000     0.000     0.997     0.000     0.002     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     6.000   999.000     0.000     4.000     3.800     0.000     0.000     0.997     0.000     0.002     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     6.000     4.000     0.000     4.000     4.400     0.000     0.000     0.997     0.000     0.002     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     2.000     0.000     2.000     0.000     3.000   999.000     1.000     3.900     3.400     1.000     0.000     0.987     0.000     0.012     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     0.000     1.000   999.000     0.000     4.700     3.200     0.000     1.000     0.997     0.000     0.002     0.000     1.000
     2.000     2.000     2.000     2.000     0.000     0.000     1.000     0.000     0.000     8.000   999.000     0.000     4.100     4.200     0.000     0.000     0.000     0.000     0.997     0.003     3.000
     1.000     2.000     2.000     2.000     1.000     0.000     1.000     2.000     0.000     3.000   999.000     1.000     3.800     3.600     1.000     0.000     0.005     0.015     0.979     0.001     3.000
     0.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     6.000   999.000     0.000     4.100     4.400     0.000     0.000     0.961     0.035     0.004     0.000     1.000
     2.000     2.000     2.000     2.000     1.000     0.000     0.000     1.000     1.000     6.000   999.000     0.000     3.900     2.900     0.000     0.000     0.003     0.000     0.996     0.001     3.000
     0.000     0.000     2.000     1.000     0.000     0.000     2.000     1.000     0.000     1.000   999.000     0.000     4.300     2.500     0.000     1.000     0.000     0.103     0.004     0.894     4.000
     0.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     0.000     1.000   999.000     0.000     3.600     4.400     0.000     1.000     0.961     0.035     0.004     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     0.000     1.000   999.000     0.000     4.400     3.800     0.000     1.000     0.959     0.001     0.040     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     0.000     3.000   999.000     1.000     4.600     1.500     1.000     0.000     0.997     0.000     0.002     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     0.000     5.000   999.000     0.000     4.500     4.900     0.000     0.000     0.997     0.000     0.002     0.000     1.000
     2.000     2.000     2.000     2.000     2.000     0.000     2.000     1.000     0.000     1.000   999.000     0.000     4.300     3.400     0.000     1.000     0.290     0.004     0.707     0.000     3.000
